Name,Team,Position,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,WAR
정현수,롯데,P,15,0,15,2,0,0,0,0,0,2,8.2,3,3,2.65,39,7,2,0,0,7,0,0,12,0,0,0,3.12,3.12,2.75,2.53,3.00,1.62,0.35
김민수,KT,P,14,0,14,0,0,0,2,1,0,7,13.0,6,6,6.00,54,15,4,1,1,2,1,0,9,0,0,0,4.15,4.15,4.15,4.09,3.80,1.31,0.35
박영현,KT,P,13,0,13,10,0,0,0,2,7,0,14.1,6,6,6.85,64,12,3,0,2,10,0,0,16,0,1,2,3.77,3.77,4.30,4.21,4.97,1.53,0.39
정철원,롯데,P,13,0,13,1,0,0,1,1,0,7,10.2,9,9,8.15,48,14,3,1,1,4,0,0,11,0,0,1,7.59,7.59,6.88,6.16,3.61,1.69,-0.02
손동현,KT,P,13,0,13,3,0,0,2,0,0,1,13.2,0,2,1.15,55,8,2,0,0,4,0,0,14,0,0,1,0.00,1.32,0.76,0.75,2.25,0.88,0.85
김서현,한화,P,12,0,12,9,0,0,0,0,5,1,10.2,0,0,0.00,39,4,1,0,0,3,0,0,9,0,0,0,0.00,0.00,0.00,0.00,2.66,0.66,1.05
박상원,한화,P,12,0,12,0,0,0,2,2,0,3,10.1,4,6,5.65,45,8,3,0,1,4,2,0,12,1,0,1,3.48,5.23,4.92,4.72,3.98,1.16,0.17
송재영,롯데,P,12,0,12,1,0,0,0,0,0,1,5.1,1,1,1.70,23,3,1,0,0,4,0,0,10,1,0,1,1.69,1.69,2.87,2.81,1.58,1.31,0.18
김상수,롯데,P,12,0,12,3,0,0,0,0,1,1,10.0,10,10,11.40,52,14,2,0,3,6,1,1,8,1,0,0,9.00,9.00,10.26,9.82,7.36,2.00,-0.36
최지민,기아,P,11,0,11,2,0,0,0,0,0,3,9.2,2,2,2.00,43,9,2,0,0,6,0,0,9,1,0,0,1.86,1.86,1.86,1.86,3.53,1.55,0.49
박치국,두산,P,11,0,11,3,0,0,1,0,0,1,9.1,4,5,5.20,43,9,2,0,0,3,3,0,9,1,0,0,3.86,4.82,5.01,5.35,3.52,1.29,0.09
박정수,두산,P,11,0,11,1,0,0,0,0,0,2,6.1,4,5,6.35,31,10,1,0,0,2,0,0,6,0,0,0,5.68,7.11,9.02,8.82,2.51,1.89,-0.23
원상현,KT,P,11,0,11,0,0,0,0,1,0,4,11.1,4,5,5.85,48,10,3,0,2,3,1,0,12,1,0,1,3.18,3.97,4.65,4.60,4.45,1.15,0.21
이영하,두산,P,11,0,11,1,0,0,1,1,0,2,10.2,5,5,6.55,51,13,1,0,1,7,0,0,15,1,0,2,4.22,4.22,5.53,5.51,3.57,1.88,0.06
조상우,기아,P,11,0,11,0,0,0,2,1,0,4,8.2,2,3,3.35,37,8,1,0,0,3,0,0,12,0,0,0,2.08,3.12,3.48,3.27,1.52,1.27,0.35
한승혁,한화,P,11,0,11,1,0,0,0,2,0,3,9.1,4,5,5.55,43,10,1,1,0,5,0,0,6,1,0,1,3.86,4.82,5.35,5.36,3.98,1.61,0.07
박진,롯데,P,11,0,11,1,0,0,1,0,1,1,10.0,4,5,8.60,43,10,2,0,1,3,0,0,8,1,0,1,3.60,4.50,7.74,7.12,4.02,1.30,-0.20
노경은,SSG,P,11,0,11,2,0,0,0,0,1,3,10.0,2,2,2.50,41,8,2,0,1,3,0,0,8,0,0,0,1.80,1.80,2.25,2.32,4.02,1.10,0.48
한두솔,SSG,P,10,0,10,2,0,0,1,0,1,2,8.2,1,2,2.00,36,10,2,0,0,2,0,0,11,0,0,1,1.04,2.08,2.08,2.06,1.44,1.38,0.44
김종수,한화,P,10,0,10,3,0,0,1,0,0,0,10.2,1,1,2.05,46,6,1,0,0,10,1,0,12,0,0,0,0.84,0.84,1.73,1.63,4.36,1.50,0.41
이강준,키움,P,10,0,10,1,0,0,0,0,0,1,8.0,7,11,9.45,43,13,2,0,2,4,1,0,9,2,0,1,7.88,12.38,10.63,11.80,6.03,2.13,-0.32
조동욱,한화,P,10,0,10,2,0,0,0,0,0,1,12.1,4,4,3.80,58,15,3,0,1,5,3,0,6,0,0,2,2.92,2.92,2.77,2.47,5.70,1.62,0.43
김강현,롯데,P,10,0,10,3,0,0,0,0,0,0,9.0,3,6,5.30,43,9,4,0,0,5,0,0,6,2,0,1,3.00,6.00,5.30,5.02,3.98,1.56,0.13
김민,SSG,P,10,0,10,0,0,0,0,0,0,3,8.2,0,1,1.50,37,10,2,0,0,2,1,0,11,0,0,0,0.00,1.04,1.56,1.50,1.81,1.38,0.52
김호준,두산,P,10,0,10,1,0,0,0,1,0,1,5.0,6,7,5.80,27,10,3,0,1,2,0,1,2,1,0,1,10.80,12.60,10.44,10.80,6.53,2.40,-0.22
이호성,삼성,P,10,0,10,1,0,0,0,1,0,1,9.1,9,9,7.80,43,7,1,0,2,9,0,0,13,0,0,0,8.68,8.68,7.52,7.63,6.03,1.71,-0.06
배찬승,삼성,P,9,0,9,1,0,0,0,0,0,2,7.0,3,3,3.00,32,5,2,0,0,7,0,0,6,0,0,1,3.86,3.86,3.86,4.03,4.93,1.71,0.16
김원중,롯데,P,9,0,9,7,0,0,0,0,6,0,10.1,1,2,2.00,45,5,0,0,1,7,0,2,11,2,0,1,0.87,1.74,1.74,1.62,4.22,1.16,0.64
정우주,한화,P,9,0,9,2,0,0,0,0,0,1,8.0,4,4,2.45,32,4,1,0,1,3,1,0,13,0,0,0,4.50,4.50,2.76,2.80,2.90,0.88,0.27
조병현,SSG,P,9,0,9,5,0,0,3,1,2,0,9.2,1,2,2.00,41,11,2,0,0,3,0,1,9,0,0,0,0.93,1.86,1.86,1.76,2.21,1.45,0.59
김선기,키움,P,9,0,9,3,0,0,0,1,0,0,10.2,4,4,4.85,54,13,2,0,0,6,2,0,7,1,0,0,3.38,3.38,4.09,4.14,4.63,1.78,0.24
황동하,기아,P,9,0,9,3,0,0,1,0,0,0,13.1,9,9,11.05,59,13,7,0,1,7,1,0,12,0,0,0,6.08,6.08,7.46,7.56,4.43,1.50,-0.20
전사민,엔씨,P,9,0,9,0,0,0,1,2,0,4,9.2,7,7,6.30,42,8,0,0,1,5,1,0,5,1,0,1,6.52,6.52,5.87,5.80,5.80,1.34,0.01
백정현,삼성,P,9,1,8,5,0,0,1,0,0,0,13.1,3,3,1.60,49,4,1,0,0,3,1,0,13,1,0,0,2.03,2.03,1.08,1.00,2.39,0.53,0.67
우규민,KT,P,9,0,9,3,0,0,0,0,0,4,8.0,3,3,3.00,33,6,2,0,0,1,0,0,3,1,0,0,3.38,3.38,3.38,3.22,3.33,0.88,0.30
곽도규,기아,P,9,0,9,1,0,0,0,0,0,3,4.0,6,6,4.30,22,3,0,0,0,6,2,0,5,0,0,1,13.50,13.50,9.68,9.19,7.15,2.25,-0.18
김건우,SSG,P,9,0,9,1,0,0,1,1,0,1,10.0,7,8,6.65,50,10,1,0,0,6,4,1,14,1,0,0,6.30,7.20,5.99,5.60,3.25,1.60,0.06
박윤성,키움,P,8,0,8,3,0,0,0,2,1,2,7.0,5,6,6.20,32,7,3,0,1,3,0,0,8,0,0,1,6.43,7.71,7.97,8.09,4.09,1.43,-0.21
오석주,키움,P,8,0,8,3,0,0,0,0,0,1,8.2,2,2,2.00,36,8,1,0,0,4,1,0,8,0,0,0,2.08,2.08,2.08,1.99,3.41,1.38,0.39
원종현,키움,P,8,0,8,2,0,0,0,0,0,2,6.2,4,4,5.70,28,6,1,0,2,3,0,1,3,0,0,1,5.40,5.40,7.70,7.76,7.28,1.35,-0.12
김범수,한화,P,8,0,8,0,0,0,0,0,0,0,3.2,2,3,3.50,20,5,1,0,0,3,0,0,4,1,0,0,4.91,7.36,8.59,9.15,3.76,2.18,-0.07
김재윤,삼성,P,8,0,8,5,0,0,1,1,4,0,8.0,7,7,6.50,35,10,2,0,1,3,0,0,6,0,0,0,7.88,7.88,7.31,6.78,4.68,1.63,-0.13
이병헌,두산,P,8,0,8,1,0,0,0,0,0,1,4.2,3,3,1.45,20,3,1,0,0,4,0,1,4,0,0,0,5.79,5.79,2.80,2.63,3.79,1.50,0.17
김태훈,삼성,P,8,0,8,0,0,0,1,0,0,2,8.0,1,1,1.00,30,7,2,0,0,0,0,0,8,1,0,0,1.13,1.13,1.13,1.04,1.37,0.88,0.42
이로운,SSG,P,8,0,8,0,0,0,0,1,0,2,7.1,1,1,2.05,31,6,1,0,0,4,0,2,9,1,0,1,1.23,1.23,2.52,2.42,1.68,1.36,0.36
정해영,기아,P,8,0,8,8,0,0,1,1,5,0,8.0,3,4,4.00,34,9,3,0,0,2,1,0,10,1,0,0,3.38,4.50,4.50,4.61,1.95,1.38,0.16
김재열,엔씨,P,8,0,8,4,0,0,0,1,0,1,7.0,5,5,7.05,37,10,2,0,2,7,0,1,9,0,0,1,6.43,6.43,9.06,9.20,7.26,2.43,-0.27
이준영,기아,P,8,0,8,2,0,0,0,0,0,0,5.1,3,3,5.55,26,10,2,0,0,2,0,0,6,0,0,0,5.06,5.06,9.37,9.67,2.26,2.25,-0.14
전상현,기아,P,8,0,8,0,0,0,1,2,0,1,6.2,6,7,5.80,32,7,2,0,1,4,1,1,3,1,0,0,8.10,9.45,7.83,7.52,6.93,1.65,-0.11
김진성,LG,P,8,0,8,0,0,0,0,0,0,6,7.1,2,2,2.35,29,4,0,0,0,3,0,0,7,0,0,0,2.45,2.45,2.88,3.15,2.79,0.95,0.31
김진호,엔씨,P,7,0,7,0,0,0,0,0,0,2,7.1,1,1,3.05,28,2,0,0,1,5,0,0,5,0,0,0,1.23,1.23,3.74,4.22,5.97,0.95,0.17
임창민,삼성,P,7,0,7,0,0,0,0,0,0,1,5.2,4,5,5.35,30,8,2,0,3,4,0,1,4,0,0,0,6.35,7.94,8.50,8.16,10.10,2.12,-0.20
박명근,LG,P,7,0,7,1,0,0,1,0,1,3,6.2,0,0,0.00,24,3,0,0,0,2,0,0,5,0,1,0,0.00,0.00,0.00,0.00,2.96,0.75,0.47
김성민,키움,P,7,0,7,0,0,0,0,1,0,0,8.0,3,3,1.80,31,4,1,0,0,5,1,0,4,0,0,0,3.38,3.38,2.03,2.06,5.02,1.13,0.38
이재희,삼성,P,7,0,7,1,0,0,0,1,0,3,5.2,2,2,2.50,27,7,1,1,0,3,0,0,8,0,0,0,3.18,3.18,3.97,3.96,2.04,1.76,0.14
손주환,엔씨,P,7,0,7,3,0,0,2,0,0,1,8.0,0,0,0.50,29,2,0,0,0,2,0,0,4,1,0,0,0.00,0.00,0.56,0.50,3.42,0.50,0.47
우강훈,LG,P,7,0,7,4,0,0,0,0,0,0,6.2,2,2,2.00,29,8,1,0,0,3,1,0,3,0,0,0,2.70,2.70,2.70,3.15,4.67,1.65,0.16
김택연,두산,P,7,0,7,6,0,0,0,0,4,0,9.0,0,0,0.00,30,2,0,0,0,2,0,0,9,0,0,1,0.00,0.00,0.00,0.00,2.08,0.44,0.81
박준우,롯데,P,7,0,7,0,0,0,1,2,0,1,5.2,8,8,8.65,32,12,2,1,0,3,1,0,4,0,0,0,12.71,12.71,13.74,12.62,4.37,2.65,-0.41
이태양,한화,P,6,0,6,0,0,0,0,1,0,0,4.1,2,2,1.50,21,5,1,0,0,3,0,1,3,0,0,0,4.15,4.15,3.12,2.77,4.36,1.85,0.14
이지강,LG,P,6,0,6,1,0,0,0,0,1,1,9.2,2,2,3.05,34,5,1,0,1,2,0,0,10,0,0,0,1.86,1.86,2.84,3.02,3.18,0.72,0.32
김영우,LG,P,6,0,6,2,0,0,0,0,0,0,6.1,1,1,1.00,28,4,1,0,0,5,0,0,8,0,0,0,1.42,1.42,1.42,1.57,3.24,1.42,0.22
백승현,LG,P,6,0,6,0,0,0,1,0,0,1,5.2,1,1,0.65,27,4,0,0,0,6,0,0,9,0,0,0,1.59,1.59,1.03,1.14,3.29,1.76,0.27
류진욱,엔씨,P,6,0,6,6,0,0,0,0,3,0,6.1,5,7,7.00,29,7,1,1,2,2,1,0,4,1,0,1,7.11,9.95,9.95,10.01,7.57,1.42,-0.28
이우찬,LG,P,6,0,6,2,0,0,0,0,0,0,5.2,2,2,2.00,28,6,1,0,0,4,1,0,3,0,0,1,3.18,3.18,3.18,3.51,5.37,1.76,0.13
한재승,엔씨,P,6,0,6,0,0,0,0,0,0,0,4.2,1,2,1.50,21,5,1,0,0,5,0,0,4,0,0,1,1.93,3.86,2.89,2.97,5.16,2.14,0.15
이승현,삼성,P,6,0,6,2,0,0,0,0,0,1,5.1,7,7,8.00,26,9,0,0,3,3,0,0,4,0,0,0,11.81,11.81,13.50,12.52,10.49,2.25,-0.24
김윤하,키움,P,5,5,0,0,0,0,0,4,0,0,23.1,19,24,22.80,113,33,5,1,7,8,0,0,14,2,0,0,7.33,9.26,8.79,8.87,7.04,1.76,-0.26
쿠에바스,KT,P,5,5,0,0,0,0,1,1,0,0,30.2,12,12,12.00,131,30,7,0,4,12,1,0,15,0,0,0,3.52,3.52,3.52,3.41,5.56,1.37,1.11
하영민,키움,P,5,5,0,0,0,0,2,3,0,0,24.2,17,18,18.00,119,38,4,1,2,7,0,0,23,1,0,0,6.20,6.57,6.57,6.64,3.41,1.82,0.09
박세웅,롯데,P,5,5,0,0,0,0,4,1,0,0,31.2,9,10,10.00,130,28,1,0,4,9,0,0,42,1,0,2,2.56,2.84,2.84,2.78,2.97,1.17,1.41
네일,기아,P,5,5,0,0,0,0,2,0,0,0,31.0,1,1,1.00,118,19,2,0,0,6,2,0,24,1,0,0,0.29,0.29,0.29,0.26,2.76,0.81,2.55
양창섭,삼성,P,5,0,5,1,0,0,1,0,0,0,5.1,3,3,4.60,27,7,1,0,0,2,3,0,3,0,0,1,5.06,5.06,7.76,7.86,5.47,1.69,-0.05
반즈,롯데,P,5,5,0,0,0,0,2,3,0,0,28.1,17,19,18.50,127,32,11,2,1,9,2,0,26,1,0,2,5.40,6.04,5.88,5.73,3.24,1.45,0.33
와이스,한화,P,5,5,0,0,0,0,2,1,0,0,29.1,16,17,17.00,129,29,7,0,5,10,1,0,32,1,1,0,4.91,5.22,5.22,4.99,4.37,1.33,0.51
권민규,한화,P,5,0,5,2,0,0,0,0,0,0,5.1,5,5,5.00,28,5,1,0,1,7,0,0,4,0,0,0,8.44,8.44,8.44,7.83,8.43,2.25,-0.03
장현식,LG,P,5,0,5,4,0,0,0,0,2,0,5.0,0,0,0.00,16,1,0,0,0,2,0,0,3,0,0,0,0.00,0.00,0.00,0.00,3.65,0.60,0.27
양현종,기아,P,5,5,0,0,0,0,0,3,0,0,25.2,18,20,19.30,120,35,8,1,2,11,2,0,19,1,0,3,6.31,7.01,6.77,6.90,4.57,1.79,0.05
송은범,삼성,P,5,0,5,3,0,0,0,0,0,0,6.0,3,3,3.00,28,9,2,0,0,3,0,0,2,0,0,3,4.50,4.50,4.50,4.34,4.64,2.00,0.11
로젠버그,키움,P,5,5,0,0,0,0,2,2,0,0,29.0,15,18,16.80,127,28,3,0,4,10,2,0,36,3,0,1,4.66,5.59,5.21,5.17,3.73,1.31,0.48
류현진,한화,P,5,5,0,0,0,0,2,0,0,0,28.1,8,8,8.00,111,24,3,0,3,5,0,0,19,0,0,0,2.54,2.54,2.54,2.35,4.02,1.02,1.38
김강률,LG,P,5,0,5,3,0,0,1,0,1,1,5.0,2,2,2.00,23,4,0,0,0,4,0,0,3,1,0,0,3.60,3.60,3.60,3.98,4.93,1.60,0.12
