Name,Team,Position,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,WAR
주승우,키움,P,5,0,5,4,0,0,1,0,3,0,4.1,0,0,0.00,18,4,0,0,0,1,0,0,1,1,0,0,0.00,0.00,0.00,0.00,4.03,1.15,0.28
조영건,키움,P,5,1,4,3,0,0,0,1,0,0,13.0,11,11,10.65,62,18,6,0,3,5,0,0,11,0,0,2,7.62,7.62,7.37,7.75,5.73,1.77,-0.04
폰세,한화,P,5,5,0,0,0,0,3,0,0,0,32.0,10,10,10.00,128,28,6,0,1,9,0,0,43,1,1,3,2.81,2.81,2.81,2.80,1.78,1.16,1.38
후라도,삼성,P,5,5,0,1,1,0,1,3,0,0,34.0,9,9,9.00,135,30,3,1,2,6,1,0,31,0,0,0,2.38,2.38,2.38,2.43,2.95,1.06,1.64
김광현,SSG,P,5,5,0,0,0,0,1,2,0,0,26.2,10,10,10.00,114,26,6,1,3,9,2,0,27,0,0,1,3.38,3.38,3.38,3.38,4.00,1.31,0.95
김민규,엔씨,P,5,0,5,1,0,0,0,0,0,1,2.2,3,3,2.70,14,4,2,0,0,2,0,1,1,0,0,0,10.13,10.13,9.11,9.44,4.13,2.25,-0.12
최민준,SSG,P,5,0,5,2,0,0,1,0,0,0,8.1,1,1,1.00,32,3,0,0,1,3,1,0,7,1,0,0,1.08,1.08,1.08,1.11,4.74,0.72,0.40
최성영,엔씨,P,4,1,3,0,0,0,1,1,0,1,8.0,5,5,6.35,33,9,1,1,1,3,0,0,2,0,0,0,5.63,5.63,7.14,6.99,5.93,1.50,0.14
앤더슨,SSG,P,4,4,0,0,0,0,0,2,0,0,20.2,9,11,11.00,92,19,3,1,2,8,1,0,32,2,0,1,3.92,4.79,4.79,5.04,2.55,1.31,0.35
김도현,기아,P,4,4,0,0,0,0,0,1,0,0,23.1,5,8,8.00,97,22,5,1,1,5,0,0,14,1,0,3,1.93,3.09,3.09,3.06,3.57,1.16,0.96
문승원,SSG,P,4,4,0,0,0,0,1,1,0,0,22.2,7,7,7.00,87,16,5,0,3,7,1,0,10,1,0,0,2.78,2.78,2.78,2.85,5.47,1.01,0.95
데이비슨,롯데,P,4,4,0,0,0,0,1,0,0,0,22.0,6,6,4.80,91,15,1,1,1,12,0,0,15,1,0,1,2.45,2.45,1.96,1.79,4.45,1.23,1.28
홍민규,두산,P,4,0,4,2,0,0,1,0,0,0,5.2,1,1,2.35,25,5,1,0,1,3,0,0,4,0,0,1,1.59,1.59,3.73,3.51,5.90,1.41,0.13
오원석,KT,P,4,4,0,0,0,0,2,1,0,0,21.1,8,8,7.15,87,13,1,0,3,11,3,0,21,1,0,1,3.38,3.38,3.02,2.97,5.18,1.13,0.89
최승용,두산,P,4,4,0,0,0,0,1,0,0,0,22.0,10,10,9.65,99,22,4,0,2,10,3,0,18,0,0,0,4.09,4.09,3.95,4.26,4.80,1.45,0.56
로건,엔씨,P,4,4,0,0,0,0,0,2,0,0,24.1,9,9,7.45,103,20,4,0,2,9,2,1,20,1,0,1,3.33,3.33,2.76,2.97,4.11,1.19,1.02
최동환,KT,P,4,0,4,2,0,0,0,1,0,0,3.1,4,4,4.00,16,6,1,0,1,2,0,1,3,0,0,0,10.80,10.80,10.80,10.57,7.11,2.40,-0.12
임찬규,LG,P,4,4,0,1,1,1,4,0,0,0,27.2,4,4,4.00,107,21,3,1,1,6,0,0,19,0,0,0,1.30,1.30,1.30,1.42,3.28,0.98,1.75
김연주,키움,P,4,0,4,0,0,0,0,0,0,0,5.0,5,5,6.55,29,9,2,0,1,4,1,0,3,0,0,0,9.00,9.00,11.79,12.81,7.95,2.60,-0.22
박주성,키움,P,4,0,4,2,0,0,0,0,0,0,8.0,7,7,7.00,40,13,2,0,0,4,1,0,9,0,0,1,7.88,7.88,7.88,7.33,3.06,2.13,-0.01
올러,기아,P,4,4,0,0,0,0,2,1,0,0,24.0,10,12,12.00,96,15,6,0,1,6,3,0,19,1,0,0,3.75,4.50,4.50,4.63,3.59,0.88,0.54
최원준,두산,P,4,4,0,0,0,0,0,2,0,0,21.2,10,11,10.15,89,21,5,0,3,7,0,0,10,0,0,1,4.15,4.57,4.22,4.24,5.40,1.29,0.56
콜어빈,두산,P,4,4,0,0,0,0,2,1,0,0,24.0,7,10,9.65,99,20,2,2,0,7,3,0,24,1,0,2,2.63,3.75,3.62,3.78,2.71,1.13,0.74
김유성,두산,P,4,3,1,0,0,0,0,2,0,0,9.2,11,11,9.10,51,12,1,0,1,9,2,0,11,0,0,1,10.24,10.24,8.47,8.24,5.90,2.17,-0.08
김진욱,롯데,P,4,4,0,0,0,0,1,2,0,0,18.1,12,13,10.60,78,15,2,0,3,11,0,0,17,1,0,0,5.89,6.38,5.20,4.72,5.42,1.42,0.39
문동주,한화,P,4,4,0,0,0,0,1,1,0,0,17.0,7,9,9.00,66,13,2,1,2,1,0,0,17,1,0,0,3.71,4.76,4.76,4.69,2.96,0.82,0.35
헤이수스,KT,P,4,4,0,0,0,0,1,1,0,0,22.0,3,5,5.00,90,13,3,0,1,8,0,0,23,3,0,0,1.23,2.05,2.05,2.01,2.96,0.95,1.20
원태인,삼성,P,4,4,0,0,0,0,2,0,0,0,23.0,4,4,4.00,90,17,5,0,0,3,1,0,17,1,0,0,1.57,1.57,1.57,1.66,2.58,0.87,1.36
정동윤,SSG,P,4,0,4,4,0,0,0,0,0,0,7.1,10,10,10.00,38,9,5,0,1,7,0,0,8,0,0,0,12.27,12.27,12.27,12.96,5.82,2.18,-0.26
에르난데스,LG,P,4,4,0,0,0,0,2,2,0,0,19.0,12,12,12.00,75,10,4,0,4,7,2,0,22,0,0,0,5.68,5.68,5.68,5.94,5.00,0.89,0.17
김명신,두산,P,4,0,4,0,0,0,0,0,0,0,3.0,3,3,4.55,17,7,0,1,0,1,0,0,2,0,0,0,9.00,9.00,13.65,14.11,3.27,2.67,-0.24
치리노스,LG,P,4,4,0,0,0,0,3,0,0,0,25.0,5,5,5.00,98,17,4,0,0,6,2,0,28,0,0,1,1.80,1.80,1.80,1.98,2.10,0.92,1.37
잭로그,두산,P,4,4,0,0,0,0,1,3,0,0,23.2,15,15,12.55,101,25,4,0,0,9,0,0,26,0,0,2,5.70,5.70,4.77,4.85,2.34,1.44,0.45
이형범,기아,P,4,0,4,2,0,0,0,0,0,0,4.0,1,4,4.85,19,5,1,1,0,2,0,1,2,1,0,0,2.25,9.00,10.91,10.09,3.42,1.75,-0.07
손주영,LG,P,4,4,0,0,0,0,3,1,0,0,23.0,11,11,9.95,90,18,2,0,3,6,0,0,18,3,0,1,4.30,4.30,3.89,4.30,4.30,1.04,0.59
나균안,롯데,P,4,4,0,0,0,0,0,1,0,0,20.0,10,12,10.25,92,20,4,0,1,10,1,0,18,1,0,0,4.50,5.40,4.61,4.19,3.98,1.50,0.55
라일리,엔씨,P,4,4,0,0,0,0,2,1,0,0,22.0,13,17,16.30,99,14,2,0,4,15,1,0,28,4,0,1,5.32,6.95,6.67,7.32,5.18,1.32,-0.03
고영표,KT,P,4,4,0,0,0,0,1,0,0,0,23.2,6,6,6.00,96,21,3,0,1,5,2,0,32,1,0,1,2.28,2.28,2.28,2.18,1.94,1.10,1.24
송승기,LG,P,4,4,0,0,0,0,1,1,0,0,22.2,8,8,8.00,95,18,4,0,1,9,0,0,18,0,0,1,3.18,3.18,3.18,3.51,3.68,1.19,0.79
최원태,삼성,P,4,4,0,0,0,0,2,1,0,0,19.1,14,14,14.00,95,22,2,0,2,15,1,0,18,0,0,0,6.52,6.52,6.52,6.63,5.42,1.91,0.06
레예스,삼성,P,3,3,0,0,0,0,2,1,0,0,14.0,7,7,7.00,55,11,0,0,1,2,0,0,11,0,0,0,4.50,4.50,4.50,4.58,3.22,0.93,0.31
윤현,키움,P,3,3,0,0,0,0,0,1,0,0,10.2,7,13,13.00,61,15,0,0,1,11,2,0,5,4,0,1,5.91,10.97,10.97,12.52,7.72,2.44,-0.40
이승현,삼성,P,3,3,0,0,0,0,0,2,0,0,13.2,8,9,8.65,65,15,3,1,0,10,1,0,6,1,0,0,5.27,5.93,5.70,5.40,5.35,1.83,0.19
최우석,엔씨,P,3,0,3,1,0,0,0,0,0,0,3.2,3,5,5.00,21,6,1,0,0,3,0,0,2,0,0,1,7.36,12.27,12.27,13.38,5.13,2.45,-0.12
박시영,롯데,P,3,0,3,0,0,0,0,0,0,0,1.2,0,0,0.00,9,2,0,0,0,2,0,0,2,0,0,0,0.00,0.00,0.00,0.00,4.71,2.40,0.14
김태경,엔씨,P,3,1,2,0,0,0,0,0,0,1,4.1,6,12,12.00,29,8,3,0,2,6,1,1,5,1,0,1,12.46,24.92,24.92,22.86,10.91,3.23,-0.72
김태현,엔씨,P,3,0,3,0,0,0,0,0,0,1,1.0,2,2,1.50,7,2,0,0,0,1,2,0,0,0,0,0,18.00,18.00,13.50,12.52,13.47,3.00,-0.05
정현우,키움,P,3,3,0,0,0,0,2,0,0,0,15.0,8,10,10.00,74,19,6,0,1,13,0,0,11,1,0,1,4.80,6.00,6.00,6.15,5.61,2.13,0.11
김시훈,엔씨,P,3,0,3,1,0,0,0,0,0,0,3.2,1,1,0.50,16,3,0,0,0,3,0,0,2,0,0,0,2.45,2.45,1.23,1.10,5.13,1.64,0.20
김정우,두산,P,3,0,3,1,0,0,0,0,0,0,2.1,0,1,2.20,12,2,0,0,0,1,1,0,3,1,0,0,0.00,3.86,8.49,9.37,3.40,1.29,-0.04
주현상,한화,P,3,0,3,2,0,0,0,0,1,0,1.1,3,3,3.50,11,6,1,0,1,1,1,0,1,0,0,0,20.25,20.25,23.63,24.88,15.72,5.25,-0.38
전준표,키움,P,3,0,3,0,0,0,0,0,0,0,2.0,6,6,7.20,16,8,0,0,0,2,0,0,2,0,0,0,27.00,27.00,32.40,33.07,4.57,5.00,-0.49
최지강,두산,P,3,0,3,1,0,0,1,1,0,0,3.2,2,2,2.70,15,3,0,0,1,1,0,0,3,0,0,0,4.91,4.91,6.63,7.32,5.94,1.09,-0.08
송영진,SSG,P,3,2,1,0,0,0,1,1,0,0,13.1,9,9,9.00,58,18,1,0,2,4,0,0,13,0,0,1,6.08,6.08,6.08,5.98,4.18,1.65,0.15
소형준,KT,P,3,3,0,0,0,0,1,1,0,0,18.0,3,4,4.00,73,19,1,0,0,4,0,0,14,1,0,1,1.50,2.00,2.00,1.97,2.64,1.28,0.99
박신지,두산,P,3,0,3,0,0,0,0,0,0,0,3.1,0,1,0.85,15,3,1,0,0,2,0,0,2,0,0,1,0.00,2.70,2.30,2.54,4.29,1.50,0.11
엄상백,한화,P,3,3,0,0,0,0,0,3,0,0,10.2,8,8,7.50,54,16,5,0,1,8,1,0,12,0,0,0,6.75,6.75,6.33,6.09,4.88,2.25,0.08
신민혁,엔씨,P,3,3,0,0,0,0,1,1,0,0,15.0,6,6,4.80,62,12,3,0,0,5,1,0,12,0,0,1,3.60,3.60,2.88,2.75,3.15,1.13,0.67
목지훈,엔씨,P,2,2,0,0,0,0,0,1,0,0,7.2,7,7,7.00,38,8,2,0,1,7,0,0,8,0,2,3,8.22,8.22,8.22,7.82,5.74,1.96,-0.04
최준호,두산,P,2,0,2,1,0,0,0,0,0,0,1.0,3,3,3.70,8,3,1,0,0,2,1,0,1,0,0,0,27.00,27.00,33.30,32.78,10.97,5.00,-0.20
최종인,두산,P,2,0,2,1,0,0,0,0,0,0,0.2,1,1,1.20,5,1,0,0,0,2,0,0,2,0,0,2,13.50,13.50,16.20,17.89,5.97,4.50,-0.04
박종훈,SSG,P,2,2,0,0,0,0,0,0,0,0,4.2,3,3,3.00,23,3,1,0,0,4,2,0,3,0,0,0,5.79,5.79,5.79,5.68,6.38,1.50,0.05
김건국,기아,P,2,0,2,1,0,0,0,0,0,0,4.1,1,1,2.05,19,4,1,0,0,3,0,0,2,0,0,1,2.08,2.08,4.26,4.36,4.93,1.62,0.09
주권,KT,P,2,0,2,2,0,0,0,0,0,0,2.0,0,0,0.00,7,1,0,0,0,0,0,0,1,1,0,0,0.00,0.00,0.00,0.00,2.62,0.50,0.08
이상규,한화,P,2,0,2,1,0,0,0,1,0,0,2.2,2,3,3.50,18,7,1,0,0,2,0,0,0,1,0,0,6.75,10.13,11.81,11.23,6.27,3.38,-0.20
서진용,SSG,P,2,0,2,1,0,0,0,0,0,0,1.1,1,1,1.00,7,1,0,0,0,3,0,0,0,0,0,0,6.75,6.75,6.75,7.88,11.07,3.00,-0.01
윤영철,기아,P,2,2,0,0,0,0,0,2,0,0,3.0,8,12,10.30,27,12,0,0,1,4,1,0,2,1,0,0,24.00,36.00,30.90,29.67,11.51,5.33,-0.49
김유영,LG,P,2,0,2,1,0,0,0,0,0,0,1.2,1,1,1.00,7,1,1,0,0,1,0,0,1,0,0,0,5.40,5.40,5.40,5.96,4.29,1.20,0.01
박세현,롯데,P,2,0,2,2,0,0,0,0,0,0,1.2,2,2,2.70,9,3,1,0,1,0,1,0,2,0,0,0,10.80,10.80,14.58,13.07,9.93,1.80,-0.18
임기영,기아,P,2,0,2,0,0,0,0,0,0,0,2.0,6,6,6.00,14,8,2,0,0,1,0,0,0,0,0,0,27.00,27.00,27.00,27.64,5.47,4.50,-0.31
양지율,키움,P,2,0,2,1,0,0,0,0,0,0,2.1,0,0,0.00,10,2,0,0,0,1,0,0,1,0,0,0,0.00,0.00,0.00,0.00,4.17,1.29,0.10
박진형,롯데,P,1,0,1,1,0,0,0,0,0,0,1.0,0,0,0.00,4,1,1,0,0,0,0,0,2,0,0,0,0.00,0.00,0.00,0.00,-1.13,1.00,0.04
김대유,기아,P,1,0,1,0,0,0,0,0,0,0,0.0,3,3,1.45,3,1,0,0,0,2,0,0,0,0,0,0,99.99,99.99,43.80,44.72,6403.87,99.99,-0.01
배재준,LG,P,1,0,1,1,0,0,0,0,0,0,1.0,0,0,0.00,4,1,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,3.87,1.00,0.04
화이트,SSG,P,1,1,0,0,0,0,0,0,0,0,4.1,2,2,1.30,17,3,1,1,0,1,0,0,8,0,0,0,4.15,4.15,2.70,2.59,0.00,0.92,0.20
유승철,기아,P,1,0,1,1,0,0,0,0,0,0,2.0,1,1,1.00,11,3,0,0,0,2,0,0,3,0,0,1,4.50,4.50,4.50,4.61,3.32,2.50,0.03
이용찬,엔씨,P,1,1,0,0,0,0,0,0,0,0,2.0,5,5,5.00,15,4,2,0,0,3,2,0,2,0,0,0,22.50,22.50,22.50,20.17,9.37,3.50,-0.19
육선엽,삼성,P,1,0,1,1,0,0,0,0,0,0,1.0,0,0,0.00,3,0,0,0,0,0,0,0,1,0,0,0,0.00,0.00,0.00,0.00,1.37,0.00,0.04
최현석,SSG,P,1,0,1,1,0,0,0,0,0,0,1.0,0,0,0.00,3,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,3.87,0.00,0.04
문용익,KT,P,1,0,1,0,0,0,0,0,0,0,1.0,0,1,1.00,5,0,0,0,0,2,0,0,0,0,0,0,0.00,9.00,9.00,8.86,10.27,2.00,-0.01
이승민,삼성,P,1,0,1,0,0,0,0,0,0,0,3.2,0,1,1.00,14,3,2,0,0,0,0,0,2,0,0,0,0.00,2.45,2.45,2.42,2.51,0.82,0.12
김서준,키움,P,1,0,1,0,0,0,0,0,0,0,1.2,7,7,7.00,15,8,4,0,2,2,0,0,0,0,0,0,37.80,37.80,37.80,33.61,21.99,6.00,-0.26
구승민,롯데,P,1,0,1,1,0,0,0,0,0,0,0.2,4,4,4.70,6,3,0,1,1,1,0,0,2,0,0,0,54.00,54.00,63.45,70.09,19.02,6.00,-0.24
김대호,삼성,P,1,1,0,0,0,0,0,0,0,0,3.2,3,4,4.00,20,6,0,0,1,3,0,0,4,1,0,0,7.36,9.82,9.82,9.11,7.01,2.45,-0.05
